[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,0,01/01/2024,00:00 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1000,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM264,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB311,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,Quantum Design AC Module,AC_MODULE_NAME
INFO,unknown,AC_HW_VERSION
INFO,,AC_SERIAL_NUMBER
INFO,unknown,AC_SOFTWARE_VERSION
INFO,TCI264,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,ZrV2_sample,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,19.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3918456125.23311,1.79990446567535,10.0867862701416,-0.00361305973098164,9.90420039900435E-7,1,2,12.8003816604614,3.00043876343265,33.4700010716915,-1.99174825600598,-0.29402512856083,100,-6.7203648795468E-6,,,,,,,,,,,,,,,,,,,,,1.79990446567535,1.79990446567535,10.0867862701416,10.0867862701416,47.5570148098223,5.04076361778107,2.47564578056335,26,1,0,0,1,0.162200927734375,27.3704795837402,1,1,1,1.79990446567535,0,742397536,1.79990446567535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456128.08813,1.81047284603119,10.0867862701416,-0.00361330212891303,1.21550047916594E-6,1,2,12.8003816604614,3.0004099965503,33.4700010716915,-1.99187754234371,-0.293837661675288,100,-6.35411048426781E-6,,,,,,,,,,,,,,,,,,,,,1.81047284603119,1.81047284603119,10.0867862701416,10.0867862701416,47.6257981195146,5.04173817306444,2.47351384162903,26,1,0,0,1,0.164718627929687,27.3704795837402,6,1,1,1.81047284603119,0,742397536,1.81047284603119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456128.98677,1.81584310531616,10.0867862701416,-0.00361400702257725,9.58510412407294E-7,1,2,12.8003816604614,3.0004099965503,33.4799997508526,-1.99232004948348,-0.293524924097138,100,-5.68422596811529E-6,,,,,,,,,,,,,,,,,,,,,1.81047284603119,1.82121336460114,10.0867862701416,10.0867862701416,47.6019584496781,5.04173817306444,2.48029661178589,26,1,0,0,1,0.163116455078125,26.881721496582,6,1,1,1.82121336460114,0,742397504,1.81584310531616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456130.93371,1.82695496082306,10.0867862701416,-0.00361404255662279,9.62272119132203E-7,1,2,12.8003816604614,3.00043394512228,33.4799997508526,-1.99235937106506,-0.293589715014673,100,-5.78902712848879E-6,,,,,,,,,,,,,,,,,,,,,1.82121336460114,1.83269655704498,10.0867862701416,10.0867862701416,47.5347383970243,5.04189664330965,2.489586353302,26,1,0,0,1,0.165634155273438,27.3704795837402,6,1,1,1.83269655704498,0,742397472,1.82695496082306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456138.04574,1.86849761009216,10.0867862701416,-0.00361661216035036,1.04969727495835E-6,1,2,12.8003816604614,3.00039582520902,33.4799997508526,-1.99346101279752,-0.295645378996118,10,-9.15464187022152E-6,,,,,,,,,,,,,,,,,,,,,1.86849761009216,1.86849761009216,10.0867862701416,10.0867862701416,47.5613137666781,5.04208998415361,2.51290798187256,26,1,0,0,1,0.1666259765625,27.3704795837402,6,1,1,1.86849761009216,0,742397344,1.86849761009216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456139.09985,1.87419563531876,10.0867862701416,-0.00361614613539652,1.36389606617146E-6,1,2,12.8003816604614,3.00039582520902,33.4799997508526,-1.99328700271457,-0.295038658667822,10,-8.12222288638948E-6,,,,,,,,,,,,,,,,,,,,,1.86849761009216,1.87989366054535,10.0867862701416,10.0867862701416,47.6168093915435,5.04208998415361,2.5230667591095,26,1,0,0,1,0.167999267578125,27.3704795837402,6,1,1,1.87989366054535,0,742397440,1.87419563531876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456141.10124,1.88562446832657,10.0867862701416,-0.00361659185426852,1.57971569259138E-6,1,2,12.8003816604614,3.00039959994451,33.4799997508526,-1.99345499739752,-0.295639313462507,10,-9.14540664517171E-6,,,,,,,,,,,,,,,,,,,,,1.87989366054535,1.89135527610779,10.0867862701416,10.0867862701416,47.5097262844089,5.041819104491,2.53107070922852,26,1,0,0,1,0.16571044921875,27.3704795837402,6,1,1,1.89135527610779,0,742397600,1.88562446832657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456143.14255,1.89730483293533,10.0867862701416,-0.00361691497358505,1.04632881786106E-6,1,2,12.8003816604614,3.00033697920354,33.4799997508526,-1.99358517873099,-0.295478230436625,10,-8.82598430312691E-6,,,,,,,,,,,,,,,,,,,,,1.89135527610779,1.90325438976288,10.0867862701416,10.0867862701416,47.5409914251781,5.04126814906123,2.54259181022644,26,1,0,0,1,0.163726806640625,27.3704795837402,6,1,1,1.90325438976288,0,742397216,1.89730483293533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456145.13385,1.90820896625519,10.0867862701416,-0.00361697822002616,1.31392538211675E-6,1,2,12.8003816604614,3.00033697920354,33.4700010716915,-1.9936496336967,-0.295280307612145,10,-8.45780886558322E-6,,,,,,,,,,,,,,,,,,,,,1.90325438976288,1.9131635427475,10.0867862701416,10.0867862701416,47.5468536390723,5.04126814906123,2.552330493927,26,1,0,0,1,0.166702270507813,27.8592376708984,6,1,1,1.9131635427475,0,742397472,1.90820896625519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3918456147.1642,1.91858178377151,10.0867862701416,-0.00361674109504193,1.00368150336094E-6,1,2,12.8003816604614,3.0002718758837,33.4799997508526,-1.99344961072402,-0.295199872100905,10,-8.36704711885438E-6,,,,,,,,,,,,,,,,,,,,,1.9131635427475,1.92400002479553,10.0867862701416,10.0867862701416,47.5867166935531,5.04245937300207,2.56083345413208,26,1,0,0,1,0.16693115234375,26.881721496582,6,1,1,1.92400002479553,0,742397472,1.91858178377151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
